Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node1 randread 8192k 1 330541 40 24752.743750 10485760 31723
bench-node1 randread 8192k 2 578237 70 27737.685938 10485760 18134
bench-node1 randread 8192k 4 926303 113 34962.975781 10485760 11320
bench-node1 randread 8192k 8 1034200 126 62071.389062 10485760 10139
bench-node1 randread 8192k 16 1111368 135 114199.742969 10485760 9435
bench-node1 randread 8192k 32 1086832 132 225723.301563 10485760 9648
bench-node1 randread 8192k 64 1100636 134 435135.058594 10485760 9527
bench-node1 randread 8192k 128 1143360 139 850857.334375 10485760 9171
bench-node1 randread 4096k 1 178681 43 22901.263281 10485760 58684
bench-node1 randread 4096k 2 316665 77 25593.917578 10485760 33113
bench-node1 randread 4096k 4 530709 129 29768.420312 10485760 19758
bench-node1 randread 4096k 8 724004 176 44075.777734 10485760 14483
bench-node1 randread 4096k 16 1048890 256 60252.179688 10485760 9997
bench-node1 randread 4096k 32 1114439 272 109934.640234 10485760 9409
bench-node1 randread 4096k 64 1114676 272 219629.629297 10485760 9407
bench-node1 randread 4096k 128 1106209 270 435673.208984 10485760 9479
bench-node1 randread 2048k 1 136039 66 15041.376819 8163328 60007
bench-node1 randread 2048k 2 249186 121 16417.715039 10485760 42080
bench-node1 randread 2048k 4 454893 222 17842.940430 10485760 23051
bench-node1 randread 2048k 8 822735 401 19303.841992 10485760 12745
bench-node1 randread 2048k 16 1057245 516 29393.524805 10485760 9918
bench-node1 randread 2048k 32 1105742 539 56935.337305 10485760 9483
bench-node1 randread 2048k 64 1064544 519 116229.897266 10485760 9850
bench-node1 randread 2048k 128 1047633 511 231446.152539 10485760 10009
bench-node1 randread 1024k 1 69168 67 14791.786825 4150272 60002
bench-node1 randread 1024k 2 145812 142 14032.441596 8749056 60002
bench-node1 randread 1024k 4 268879 262 15026.195508 10485760 38998
bench-node1 randread 1024k 8 540558 527 14730.394434 10485760 19398
bench-node1 randread 1024k 16 969198 946 15637.075000 10485760 10819
bench-node1 randread 1024k 32 1044190 1019 30314.147461 10485760 10042
bench-node1 randread 1024k 64 1027008 1002 61806.045410 10485760 10210
bench-node1 randread 1024k 128 1007180 983 121141.201758 10485760 10411
bench-node1 randread 512k 1 36404 71 14051.665810 2190848 60181
bench-node1 randread 512k 2 124956 244 8181.759730 7498752 60011
bench-node1 randread 512k 4 278336 543 7262.505908 10485760 37673
bench-node1 randread 512k 8 538670 1052 7429.519531 10485760 19466
bench-node1 randread 512k 16 1044294 2039 7734.338184 10485760 10041
