Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node1 randwrite 8192k 1 51764 6 158222.750000 3112960 60137
bench-node1 randwrite 8192k 2 60676 7 269991.393258 3645440 60080
bench-node1 randwrite 8192k 4 67461 8 485636.316633 4087808 60595
bench-node1 randwrite 8192k 8 76591 9 853711.703375 4612096 60217
bench-node1 randwrite 8192k 16 75027 9 1729604.820922 4620288 61581
bench-node1 randwrite 8192k 32 73298 8 3536831.465950 4571136 62363
bench-node1 randwrite 8192k 64 75615 9 6737268.875630 4874240 64461
bench-node1 randwrite 8192k 128 81366 9 12464390.853846 5324800 65442
bench-node1 randwrite 4096k 1 51520 12 79479.312583 3092480 60024
bench-node1 randwrite 4096k 2 51678 12 158498.956693 3121152 60396
bench-node1 randwrite 4096k 4 54875 13 298537.085290 3313664 60385
bench-node1 randwrite 4096k 8 61638 15 531498.579869 3743744 60737
bench-node1 randwrite 4096k 16 79625 19 821723.058475 4833280 60700
bench-node1 randwrite 4096k 32 74281 18 1753497.035040 4558848 61373
bench-node1 randwrite 4096k 64 74964 18 3405222.834057 4714496 62890
bench-node1 randwrite 4096k 128 80736 19 6386753.939886 5042176 62452
bench-node1 randwrite 2048k 1 58564 28 34956.164336 3514368 60008
bench-node1 randwrite 2048k 2 57403 28 71333.991082 3444736 60009
bench-node1 randwrite 2048k 4 61645 30 132859.203418 3715072 60265
bench-node1 randwrite 2048k 8 61082 29 268177.690503 3665920 60016
bench-node1 randwrite 2048k 16 64829 31 505340.400000 3901440 60180
bench-node1 randwrite 2048k 32 76621 37 853586.079858 4616192 60247
bench-node1 randwrite 2048k 64 74859 36 1735875.144000 4608000 61555
bench-node1 randwrite 2048k 128 77248 37 3291053.945008 4841472 62674
bench-node1 randwrite 1024k 1 64757 63 15799.849802 3886080 60010
bench-node1 randwrite 1024k 2 66810 65 30640.020940 4009984 60020
bench-node1 randwrite 1024k 4 63543 62 64120.242602 3841024 60447
bench-node1 randwrite 1024k 8 59179 57 138401.350014 3560448 60164
bench-node1 randwrite 1024k 16 66706 65 245565.266292 4006912 60068
bench-node1 randwrite 1024k 32 70687 69 463439.531640 4272128 60437
bench-node1 randwrite 1024k 64 80661 78 809721.874322 4904960 60809
bench-node1 randwrite 1024k 128 83209 81 1567520.225898 5045248 60633
bench-node1 randwrite 512k 1 70046 136 7296.679985 4203008 60003
bench-node1 randwrite 512k 2 70981 138 14413.476082 4259840 60013
bench-node1 randwrite 512k 4 71028 138 28819.908228 4262400 60010
bench-node1 randwrite 512k 8 68292 133 59959.253808 4101120 60052
bench-node1 randwrite 512k 16 66794 130 122619.459732 4011520 60058
bench-node1 randwrite 512k 32 68618 134 238717.901080 4125184 60118
bench-node1 randwrite 512k 64 75205 146 435575.156066 4524032 60156
bench-node1 randwrite 512k 128 91885 179 712653.832069 5533696 60224
bench-node1 randwrite 256k 1 74161 289 3439.871189 4449792 60001
bench-node1 randwrite 256k 2 74011 289 6905.211458 4441856 60016
bench-node1 randwrite 256k 4 71921 280 14225.374303 4315648 60005
bench-node1 randwrite 256k 8 73790 288 27740.529514 4428032 60008
bench-node1 randwrite 256k 16 70197 274 58331.104800 4213760 60027
bench-node1 randwrite 256k 32 71439 279 114641.931810 4291072 60066
bench-node1 randwrite 256k 64 72145 281 227028.985618 4343296 60202
bench-node1 randwrite 256k 128 74203 289 424600.013489 4649728 62662
bench-node1 randwrite 128k 1 49789 388 2559.107331 2987392 60001
bench-node1 randwrite 128k 2 45123 352 5660.863525 2707712 60007
bench-node1 randwrite 128k 4 36795 287 13901.821671 2207872 60004
