Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node1 read 8192k 1 75099 9 109057.909747 4538368 60431
bench-node1 read 8192k 2 223648 27 72673.973437 10485760 46885
bench-node1 read 8192k 4 734708 89 39214.059375 10485760 14272
bench-node1 read 8192k 8 1077119 131 59683.253125 10485760 9735
bench-node1 read 8192k 16 1188996 145 106733.781250 10485760 8819
bench-node1 read 8192k 32 1158647 141 212168.760156 10485760 9050
bench-node1 read 8192k 64 1126532 137 425611.994531 10485760 9308
bench-node1 read 8192k 128 1100636 134 870235.088281 10485760 9527
bench-node1 read 4096k 1 123031 30 33275.726012 7385088 60026
bench-node1 read 4096k 2 230522 56 35335.210937 10485760 45487
bench-node1 read 4096k 4 692678 169 23442.239844 10485760 15138
bench-node1 read 4096k 8 914190 223 35216.241406 10485760 11470
bench-node1 read 4096k 16 1099597 268 58700.185547 10485760 9536
bench-node1 read 4096k 32 1128957 275 109807.514844 10485760 9288
bench-node1 read 4096k 64 1115506 272 218593.481641 10485760 9400
bench-node1 read 4096k 128 1093747 267 439148.420312 10485760 9587
bench-node1 read 2048k 1 146531 71 13967.383613 8798208 60043
bench-node1 read 2048k 2 225006 109 18074.691016 10485760 46602
bench-node1 read 2048k 4 571555 279 14185.409570 10485760 18346
bench-node1 read 2048k 8 995326 485 16114.275391 10485760 10535
bench-node1 read 2048k 16 1063680 519 30247.435938 10485760 9858
bench-node1 read 2048k 32 1081229 527 59371.344141 10485760 9698
bench-node1 read 2048k 64 1093861 534 114312.009570 10485760 9586
bench-node1 read 2048k 128 1110544 542 221082.806055 10485760 9442
bench-node1 read 1024k 1 115186 112 8881.191111 6912000 60007
bench-node1 read 1024k 2 203452 198 9894.398535 10485760 51539
bench-node1 read 1024k 4 427257 417 9426.230273 10485760 24542
bench-node1 read 1024k 8 821446 802 9682.904590 10485760 12765
bench-node1 read 1024k 16 992311 969 16332.972070 10485760 10567
bench-node1 read 1024k 32 1017244 993 31537.260938 10485760 10308
