Hostname Pattern Block_size Threads Read_Bandwidth_KB/s Read_IOPS Read_latency_mean Read_Total_I/O_KB Read_runtime_ms Write_Bandwidth_KB/s Write_IOPS Write_latency_mean Write_Total_I/O_KB Write_runtime_ms
bench-node1 readwrite 8192k 1 8320 1 811983.606557 499712 60060 9411 1 152540.898551 565248 60060
bench-node1 readwrite 8192k 2 50714 6 176543.567204 3047424 60090 48124 5 154359.736544 2891776 60090
bench-node1 readwrite 8192k 4 126774 15 74401.487342 5177344 40839 129983 15 174583.263889 5308416 40839
bench-node1 readwrite 8192k 8 102376 12 134694.627869 4997120 48811 112446 13 430413.720896 5488640 48811
bench-node1 readwrite 8192k 16 82890 10 531497.957307 4988928 60187 90648 11 924981.264264 5455872 60187
bench-node1 readwrite 8192k 32 75611 9 1342627.118674 4694016 62081 80493 9 1912549.383607 4997120 62081
bench-node1 readwrite 8192k 64 73242 8 2907797.295699 4571136 62411 80724 9 3712001.837398 5038080 62411
bench-node1 readwrite 8192k 128 71953 8 6472727.635063 4579328 63643 75171 9 7211417.385274 4784128 63643
bench-node1 readwrite 4096k 1 17603 4 127388.872093 1056768 60032 19104 4 96985.360714 1146880 60032
bench-node1 readwrite 4096k 2 33436 8 108010.258130 2015232 60270 37514 9 121805.170290 2260992 60270
bench-node1 readwrite 4096k 4 63226 15 71756.775862 3801088 60119 63089 15 187699.410367 3792896 60119
bench-node1 readwrite 4096k 8 79444 19 89180.297945 4784128 60220 79240 19 323623.475536 4771840 60220
bench-node1 readwrite 4096k 16 88628 21 149261.018927 5193728 58601 90306 22 550998.312693 5292032 58601
bench-node1 readwrite 4096k 32 79682 19 554282.296203 4853760 60914 82170 20 1037290.500000 5005312 60914
bench-node1 readwrite 4096k 64 77914 19 1297327.395586 4825088 61928 78972 19 1933230.742044 4890624 61928
bench-node1 readwrite 4096k 128 74734 18 2928358.943032 4673536 62535 78206 19 3599075.272194 4890624 62535
bench-node1 readwrite 2048k 1 22786 11 39861.130240 1368064 60038 23946 11 47571.505698 1437696 60038
bench-node1 readwrite 2048k 2 34295 16 55016.366799 2060288 60075 35283 17 62586.489855 2119680 60075
bench-node1 readwrite 2048k 4 61651 30 34231.913212 3704832 60093 64446 31 94331.482813 3872768 60093
bench-node1 readwrite 2048k 8 82980 40 48090.251645 4980736 60023 78920 38 156989.448768 4737024 60023
bench-node1 readwrite 2048k 16 74564 36 92219.541118 4507648 60453 77850 38 329969.582681 4706304 60453
bench-node1 readwrite 2048k 32 92626 45 172304.262524 5273600 56934 91547 44 508843.398035 5212160 56934
bench-node1 readwrite 2048k 64 77716 37 595279.972668 4720640 60742 80548 39 1033514.953956 4892672 60742
bench-node1 readwrite 2048k 128 74993 36 1385344.998214 4587520 61172 77102 37 1963107.337820 4716544 61172
bench-node1 readwrite 1024k 1 13161 12 66894.933938 790528 60063 12053 11 11886.135785 723968 60063
bench-node1 readwrite 1024k 2 27865 27 41730.174924 1674240 60082 29058 28 30439.744868 1745920 60082
bench-node1 readwrite 1024k 4 56124 54 15469.855971 3369984 60045 56311 54 57282.592065 3381248 60045
bench-node1 readwrite 1024k 8 71424 69 25380.019332 4290560 60071 68884 67 92558.824053 4137984 60071
bench-node1 readwrite 1024k 16 73753 72 43760.312024 4436992 60160 76731 74 171417.122449 4616192 60160
bench-node1 readwrite 1024k 32 85599 83 71744.118090 5168128 60376 86599 84 295541.209166 5228544 60376
bench-node1 readwrite 1024k 64 85925 83 222227.495558 5186560 60361 85908 83 515557.247235 5185536 60361
bench-node1 readwrite 1024k 128 78009 76 610251.725490 4804608 61590 78242 76 1011758.532299 4818944 61590
bench-node1 readwrite 512k 1 11183 21 37243.499238 671744 60066 11047 21 8623.722222 663552 60066
bench-node1 readwrite 512k 2 26448 51 24103.157437 1590272 60128 25681 50 14988.032493 1544192 60128
bench-node1 readwrite 512k 4 47995 93 9935.183822 2880000 60006 48046 93 32678.447878 2883072 60006
bench-node1 readwrite 512k 8 55064 107 16665.632800 3331072 60494 53744 104 58618.761890 3251200 60494
bench-node1 readwrite 512k 16 71005 138 25021.891223 4264448 60058 71849 140 89201.841006 4315136 60058
bench-node1 readwrite 512k 32 77677 151 39729.980046 4695552 60449 77847 152 169882.032749 4705792 60449
bench-node1 readwrite 512k 64 76858 150 78454.444701 4661760 60654 78816 153 335243.026561 4780544 60654
bench-node1 readwrite 512k 128 76852 150 135524.418837 4718592 61398 77561 151 691841.179336 4762112 61398
bench-node1 readwrite 256k 1 5398 21 3877.369616 326912 60558 5508 21 42656.971604 333568 60558
bench-node1 readwrite 256k 2 4351 16 29015.932485 261632 60123 4347 16 88707.188051 261376 60123
bench-node1 readwrite 256k 4 8569 33 19857.059204 514560 60047 8739 34 97673.266829 524800 60047
bench-node1 readwrite 256k 8 35409 138 11529.722938 2126080 60043 36441 142 44970.776062 2188032 60043
bench-node1 readwrite 256k 16 66875 261 15568.499809 4019712 60107 65640 256 46413.629899 3945472 60107
bench-node1 readwrite 256k 32 78713 307 25237.327890 4734464 60148 79756 311 77585.827312 4797184 60148
bench-node1 readwrite 256k 64 87363 341 44994.344142 5250304 60097 86175 336 136282.887889 5178880 60097
bench-node1 readwrite 256k 128 84320 329 84317.997561 5143296 60997 85734 334 270200.511112 5229568 60997
bench-node1 readwrite 128k 1 35052 273 672.156533 2103168 60001 35058 273 2965.918097 2103552 60001
bench-node1 readwrite 128k 2 25837 201 7050.267920 1558912 60335 25440 198 2880.884173 1534976 60335
bench-node1 readwrite 128k 4 55666 434 3086.116199 3348736 60157 55924 436 6057.906479 3364224 60157
bench-node1 readwrite 128k 8 60325 471 5691.067506 3619712 60003 59901 467 11345.849501 3594240 60003
bench-node1 readwrite 128k 16 66599 520 10240.857965 4003072 60107 66731 521 20415.881670 4011008 60107
bench-node1 readwrite 128k 32 76760 599 17557.132978 4656896 60668 76722 599 35283.112309 4654592 60668
bench-node1 readwrite 128k 64 83634 653 31107.210979 5076224 60695 84925 663 63420.476335 5154560 60695
bench-node1 readwrite 128k 128 84103 657 54522.185949 5168896 61459 84925 663 118854.964760 5219456 61459
bench-node1 readwrite 64k 1 7799 121 7319.113239 467968 60001 7677 119 885.337038 460672 60001
bench-node1 readwrite 64k 2 27191 424 3199.030266 1632448 60035 27700 432 1467.510314 1662976 60035
bench-node1 readwrite 64k 4 56429 881 2902.571094 3387072 60023 55882 873 1635.352643 3354240 60023
bench-node1 readwrite 64k 8 22932 358 5564.602837 1376000 60003 22687 354 16926.162522 1361344 60003
bench-node1 readwrite 64k 16 21245 331 11477.611708 1321728 62211 21004 328 35573.798207 1306688 62211
bench-node1 readwrite 64k 32 20069 313 23563.944819 1223616 60968 20479 319 75827.872828 1248576 60968
bench-node1 readwrite 64k 64 21087 329 46880.923012 1297664 61537 21168 330 142208.346615 1302656 61537
bench-node1 readwrite 64k 128 57473 898 47922.242832 3488704 60701 58194 909 91921.564906 3532480 60701
bench-node1 readwrite 32k 1 14948 467 260.376529 902304 60359 15132 472 1846.766037 913376 60359
bench-node1 readwrite 32k 2 27091 846 1562.964135 1625632 60005 27286 852 781.692452 1637312 60005
bench-node1 readwrite 32k 4 67186 2099 1079.231469 4031296 60002 67308 2103 811.604645 4038656 60002
bench-node1 readwrite 32k 8 60662 1895 2640.207956 3664160 60402 60820 1900 1540.209881 3673696 60402
bench-node1 readwrite 32k 16 44948 1404 4768.151989 2725888 60645 45277 1414 6521.012901 2745824 60645
bench-node1 readwrite 32k 32 36693 1146 9638.102020 2206624 60136 36800 1150 18153.778735 2213024 60136
bench-node1 readwrite 32k 64 43101 1346 19231.105764 2604736 60432 42458 1326 28389.618323 2565856 60432
bench-node1 readwrite 32k 128 54521 1703 33091.804712 3315712 60815 54131 1691 41432.500967 3292000 60815
bench-node1 readwrite 16k 1 681 42 22906.301680 40944 60040 667 41 549.403516 40048 60040
bench-node1 readwrite 16k 2 4515 282 6567.024610 271760 60181 4457 278 499.915245 268256 60181
bench-node1 readwrite 16k 4 39020 2438 1139.291889 2341328 60002 39004 2437 476.512289 2340336 60002
bench-node1 readwrite 16k 8 56132 3508 1658.649945 3373088 60091 55971 3498 598.564856 3363408 60091
bench-node1 readwrite 16k 16 57518 3594 2716.347825 3507008 60972 57608 3600 1571.640590 3512512 60972
bench-node1 readwrite 16k 32 64935 4058 5149.888908 3921376 60389 65135 4070 2667.199071 3933472 60389
bench-node1 readwrite 16k 64 68900 4306 9854.776802 4212432 61138 68991 4311 4643.656312 4218016 61138
bench-node1 readwrite 16k 128 72693 4543 19448.855993 4417232 60765 72700 4543 7861.282994 4417616 60765
bench-node1 readwrite 4k 1 173 43 22544.298003 10416 60033 170 42 500.051583 10236 60033
bench-node1 readwrite 4k 2 8041 2010 741.450828 484176 60213 8031 2007 242.132580 483572 60213
bench-node1 readwrite 4k 4 9292 2323 928.338833 557584 60001 9303 2325 780.998868 558204 60001
bench-node1 readwrite 4k 8 8703 2175 1814.055722 523456 60143 8697 2174 1845.177935 523068 60143
bench-node1 readwrite 4k 16 14949 3737 2130.634837 902544 60373 14918 3729 2121.408410 900684 60373
bench-node1 readwrite 4k 32 24169 6042 3264.933986 1458532 60347 24150 6037 1996.075936 1457384 60347
bench-node1 readwrite 4k 64 33316 8329 5229.628120 2007068 60242 33343 8335 2417.124974 2008704 60242
bench-node1 readwrite 4k 128 37648 9412 10226.668311 2297248 61018 37665 9416 3155.048988 2298296 61018
bench-node1 readwrite 2k 1 137 68 14016.373152 8254 60002 133 66 519.271389 8018 60002
bench-node1 readwrite 2k 2 557 278 6715.944398 33560 60173 542 271 443.772334 32618 60173
bench-node1 readwrite 2k 4 7717 3858 748.534468 463070 60002 7717 3858 277.791080 463038 60002
bench-node1 readwrite 2k 8 21848 10924 524.209964 1310978 60002 21859 10929 202.469116 1311594 60002
bench-node1 readwrite 2k 16 19833 9916 1205.004458 1193014 60150 19852 9926 399.237260 1194132 60150
bench-node1 readwrite 2k 32 21690 10845 1935.444118 1309426 60368 21674 10837 993.478203 1308440 60368
bench-node1 readwrite 2k 64 21756 10878 3786.971584 1319416 60646 21766 10883 2031.808771 1320050 60646
bench-node1 readwrite 2k 128 22623 11311 8357.044049 1363842 60284 22547 11273 2917.628814 1359258 60284
bench-node1 readwrite 1k 1 79 79 12176.118228 4762 60038 78 78 419.900340 4706 60038
bench-node1 readwrite 1k 2 523 523 3373.095698 31401 60001 523 523 434.656334 31388 60001
bench-node1 readwrite 1k 4 2635 2635 1052.212000 158330 60075 2633 2633 453.362768 158206 60075
bench-node1 readwrite 1k 8 5789 5789 1047.283566 347884 60091 5792 5792 324.330489 348075 60091
bench-node1 readwrite 1k 16 5915 5915 1963.212218 355445 60090 5913 5913 733.722422 355331 60090
bench-node1 readwrite 1k 32 9166 9166 2089.637730 584335 63746 9173 9173 1201.381440 584781 63746
bench-node1 readwrite 1k 64 10268 10268 3744.503861 628298 61185 10258 10258 2366.274187 627660 61185
bench-node1 readwrite 1k 128 10829 10829 7531.052764 660622 61003 10824 10824 4098.280672 660325 61003
bench-node2 readwrite 8192k 1 22700 2 34443.244048 1376256 60626 25808 3 287082.282723 1564672 60626
bench-node2 readwrite 8192k 2 23121 2 40166.245614 1400832 60585 21363 2 723391.930380 1294336 60585
bench-node2 readwrite 8192k 4 69837 8 132841.041016 4194304 60058 69564 8 337637.435294 4177920 60058
bench-node2 readwrite 8192k 8 85665 10 215782.195860 5144576 60054 87848 10 486928.527950 5275648 60054
bench-node2 readwrite 8192k 16 87308 10 550710.044073 5390336 61739 82266 10 883350.638710 5079040 61739
bench-node2 readwrite 8192k 32 85105 10 1251687.592417 5185536 60931 84701 10 1755972.350794 5160960 60931
bench-node2 readwrite 8192k 64 77321 9 2796153.656766 4964352 64204 78087 9 3493870.919935 5013504 64204
bench-node2 readwrite 8192k 128 80833 9 5556803.731588 5005312 61921 85067 10 6223915.337481 5267456 61921
bench-node2 readwrite 4096k 1 26685 6 97790.051020 1605632 60169 23690 5 62708.686782 1425408 60169
bench-node2 readwrite 4096k 2 57121 13 50841.421241 3432448 60090 57530 14 91880.907583 3457024 60090
bench-node2 readwrite 4096k 4 71451 17 65444.294847 4292608 60077 69883 17 167312.404878 4198400 60077
bench-node2 readwrite 4096k 8 76225 18 108009.130474 4583424 60130 77110 18 317804.863958 4636672 60130
bench-node2 readwrite 4096k 16 87494 21 189357.308766 5279744 60344 84846 20 531172.354400 5120000 60344
bench-node2 readwrite 4096k 32 78413 19 580333.457781 4947968 63101 81204 19 967621.478018 5124096 63101
bench-node2 readwrite 4096k 64 79290 19 1274952.729114 4853760 61215 80427 19 1941760.577371 4923392 61215
bench-node2 readwrite 4096k 128 75567 18 2762357.241349 4734976 62659 82758 20 3358336.955766 5185536 62659
bench-node2 readwrite 2048k 1 34198 16 37140.006986 2052096 60005 30990 15 25078.654185 1859584 60005
bench-node2 readwrite 2048k 2 60791 29 24846.607964 3651584 60067 59734 29 43259.683219 3588096 60067
bench-node2 readwrite 2048k 4 58005 28 34891.942004 3495936 60269 60927 29 100990.876743 3672064 60269
bench-node2 readwrite 2048k 8 62181 30 63914.391352 3741696 60174 64904 31 191120.500787 3905536 60174
bench-node2 readwrite 2048k 16 74759 36 100830.002273 4505600 60268 70987 34 354550.291048 4278272 60268
bench-node2 readwrite 2048k 32 80377 39 226761.331092 4874240 60642 80546 39 571199.958491 4884480 60642
bench-node2 readwrite 2048k 64 79293 38 592795.567658 4888576 61652 79193 38 1014859.453440 4882432 61652
bench-node2 readwrite 2048k 128 89176 43 1100813.168176 5199872 58310 90651 44 1559186.434328 5285888 58310
bench-node2 readwrite 1024k 1 36869 36 14965.357539 2213888 60047 37107 36 12712.023897 2228224 60047
bench-node2 readwrite 1024k 2 60447 59 11326.538137 3638272 60189 59681 58 22775.628278 3592192 60189
bench-node2 readwrite 1024k 4 60891 59 18282.620593 3659776 60103 60039 58 49633.660613 3608576 60103
bench-node2 readwrite 1024k 8 66242 64 32850.835391 3981312 60102 65867 64 91219.057682 3958784 60102
bench-node2 readwrite 1024k 16 68386 66 62312.395037 4126720 60344 67029 65 180209.217975 4044800 60344
bench-node2 readwrite 1024k 32 72762 71 104102.879563 4404224 60529 73777 72 338102.886723 4465664 60529
bench-node2 readwrite 1024k 64 82184 80 238505.488100 4990976 60729 84646 82 523847.346414 5140480 60729
bench-node2 readwrite 1024k 128 78228 76 616167.191804 4772864 61012 81165 79 979716.802523 4952064 61012
bench-node2 readwrite 512k 1 39788 77 5209.596397 2387456 60003 39157 76 7770.638483 2349568 60003
bench-node2 readwrite 512k 2 53706 104 5587.827931 3222528 60003 52656 102 13735.868255 3159552 60003
bench-node2 readwrite 512k 4 55388 108 10002.554906 3329024 60103 55754 108 26781.902215 3351040 60103
bench-node2 readwrite 512k 8 59750 116 18463.889330 3608576 60394 59699 116 49789.710594 3605504 60394
bench-node2 readwrite 512k 16 59777 116 34189.623573 3588096 60024 60391 117 101779.747175 3624960 60024
bench-node2 readwrite 512k 32 68452 133 61437.515556 4147200 60585 68275 133 176633.972521 4136448 60585
bench-node2 readwrite 512k 64 72990 142 97452.572912 4487168 61476 74714 145 334260.343106 4593152 61476
bench-node2 readwrite 512k 128 67578 131 153029.495688 4392960 65005 67948 132 748814.665469 4417024 65005
bench-node2 readwrite 256k 1 13967 54 14939.661730 864256 61874 13963 54 3379.430815 864000 61874
bench-node2 readwrite 256k 2 61617 240 5174.871825 3698944 60031 61207 239 3146.469031 3674368 60031
bench-node2 readwrite 256k 4 61246 239 5310.093579 3687680 60210 61404 239 11326.790472 3697152 60210
bench-node2 readwrite 256k 8 60850 237 9138.461731 3679232 60463 61795 241 23948.154299 3736320 60463
bench-node2 readwrite 256k 16 65633 256 17677.208870 3977216 60597 65447 255 44337.755099 3965952 60597
bench-node2 readwrite 256k 32 67333 263 35075.172437 4118272 61162 67153 262 84632.367053 4107264 61162
bench-node2 readwrite 256k 64 80818 315 58191.627287 4897280 60596 80121 312 143107.927445 4855040 60596
bench-node2 readwrite 256k 128 83355 325 92607.705707 5055744 60653 83971 328 285794.901885 5093120 60653
bench-node2 readwrite 128k 1 51511 402 833.600827 3095040 60084 51537 402 1643.854539 3096576 60084
bench-node2 readwrite 128k 2 54901 428 1476.305098 3294208 60002 55686 435 3134.404421 3341312 60002
bench-node2 readwrite 128k 4 55985 437 3037.112369 3359232 60002 56546 441 6039.411438 3392896 60002
bench-node2 readwrite 128k 8 58915 460 5917.930901 3551104 60275 58305 455 11506.835154 3514368 60275
bench-node2 readwrite 128k 16 61722 482 11558.015841 3749248 60744 61956 484 21177.240256 3763456 60744
bench-node2 readwrite 128k 32 65725 513 23174.715593 3971328 60423 65835 514 38674.058047 3977984 60423
bench-node2 readwrite 128k 64 79402 620 37011.962957 4848000 61056 79037 617 63339.399406 4825728 61056
bench-node2 readwrite 128k 128 85889 671 59335.662053 5169664 60190 85648 669 120143.597045 5155200 60190
bench-node2 readwrite 64k 1 23806 371 2305.452081 1428416 60002 23729 370 377.071425 1423808 60002
bench-node2 readwrite 64k 2 42226 659 2556.331734 2533696 60002 41609 650 474.874801 2496640 60002
bench-node2 readwrite 64k 4 67096 1048 1567.366309 4033664 60117 67904 1061 2075.228533 4082240 60117
bench-node2 readwrite 64k 8 64163 1002 2877.995297 3850944 60018 64110 1001 4866.920063 3847808 60018
bench-node2 readwrite 64k 16 63913 998 5809.533502 3886528 60809 64258 1004 9577.620785 3907520 60809
bench-node2 readwrite 64k 32 69756 1089 12428.133272 4225472 60575 69199 1081 16805.409704 4191744 60575
bench-node2 readwrite 64k 64 75703 1182 23603.764926 4563264 60278 75556 1180 30191.669388 4554368 60278
bench-node2 readwrite 64k 128 80330 1255 41623.170946 4917568 61217 80594 1259 53103.376197 4933760 61217
bench-node2 readwrite 32k 1 28670 895 870.541054 1720256 60001 28600 893 240.579178 1716032 60001
bench-node2 readwrite 32k 2 32715 1022 1740.567982 1969920 60214 32484 1015 207.189661 1956000 60214
bench-node2 readwrite 32k 4 61410 1919 820.682617 3684736 60002 61536 1923 1057.422161 3692320 60002
bench-node2 readwrite 32k 8 58383 1824 2154.643231 3523264 60347 58234 1819 1838.838956 3514272 60347
bench-node2 readwrite 32k 16 64728 2022 3596.428502 3895840 60187 64416 2013 4065.491594 3877024 60187
bench-node2 readwrite 32k 32 70256 2195 7341.617122 4268384 60754 70179 2193 6798.061461 4263680 60754
bench-node2 readwrite 32k 64 76976 2405 14465.871359 4664160 60592 76707 2397 10929.375077 4647840 60592
bench-node2 readwrite 32k 128 74745 2335 31271.290291 4640192 62080 74636 2332 18403.406879 4633440 62080
bench-node2 readwrite 16k 1 7050 440 2060.416172 423056 60002 6987 436 203.529576 419264 60002
bench-node2 readwrite 16k 2 18393 1149 1563.501943 1103648 60002 18248 1140 171.320484 1094944 60002
bench-node2 readwrite 16k 4 34139 2133 1643.996235 2052320 60116 33855 2115 224.514607 2035232 60116
bench-node2 readwrite 16k 8 56370 3523 1243.242788 3383424 60021 56460 3528 817.690834 3388832 60021
bench-node2 readwrite 16k 16 59366 3710 2055.553291 3573408 60192 59618 3726 2081.901192 3588528 60192
bench-node2 readwrite 16k 32 62451 3903 5216.052485 3787760 60651 62343 3896 2591.197475 3781184 60651
bench-node2 readwrite 16k 64 71537 4471 9341.696602 4308160 60222 71479 4467 3426.800841 4304656 60222
bench-node2 readwrite 16k 128 66063 4128 22241.888981 4034320 61067 65983 4123 5254.376256 4029424 61067
bench-node2 readwrite 4k 1 1766 441 2045.776432 105972 60001 1749 437 213.746770 104964 60001
bench-node2 readwrite 4k 2 9739 2434 692.197623 584364 60001 9709 2427 124.193337 582568 60001
bench-node2 readwrite 4k 4 9628 2407 1497.629322 577720 60002 9555 2388 159.258752 573352 60002
bench-node2 readwrite 4k 8 39875 9968 594.451915 2396140 60091 39975 9993 201.210196 2402180 60091
bench-node2 readwrite 4k 16 41703 10425 1138.094234 2529072 60644 41728 10432 360.239670 2530560 60644
bench-node2 readwrite 4k 32 44091 11022 2149.748174 2653192 60175 44139 11034 665.301241 2656104 60175
bench-node2 readwrite 4k 64 43360 10840 4794.323434 2616988 60354 43437 10859 897.842670 2621652 60354
bench-node2 readwrite 4k 128 35406 8851 11813.432942 2138520 60399 35412 8853 2263.749500 2138860 60399
bench-node2 readwrite 2k 1 1186 593 1514.412178 71212 60001 1174 587 165.997559 70474 60001
bench-node2 readwrite 2k 2 7277 3638 422.350609 436686 60001 7284 3642 121.970908 437090 60001
bench-node2 readwrite 2k 4 6247 3123 1126.711452 374842 60002 6208 3104 148.985086 372544 60002
bench-node2 readwrite 2k 8 13304 6652 1022.700073 799134 60067 13269 6634 174.069981 797050 60067
bench-node2 readwrite 2k 16 22659 11329 1024.336540 1361770 60096 22649 11324 380.972394 1361142 60096
bench-node2 readwrite 2k 32 23403 11701 2037.418398 1409466 60225 23405 11702 683.270894 1409572 60225
