Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node1 write 8192k 1 55406 6 147828.955665 3325952 60028
bench-node1 write 8192k 2 40074 4 408811.451178 2433024 60712
bench-node1 write 8192k 4 73234 8 447362.871508 4399104 60069
bench-node1 write 8192k 8 76924 9 851460.876543 4644864 60382
bench-node1 write 8192k 16 53929 6 2406293.838631 3350528 62128
bench-node1 write 8192k 32 56595 6 4580680.007009 3506176 61951
bench-node1 write 8192k 64 80367 9 6345949.418384 5169152 64319
bench-node1 write 8192k 128 81238 9 12336043.544776 5488640 67562
bench-node1 write 4096k 1 39729 9 103081.216495 2383872 60003
bench-node1 write 4096k 2 58085 14 141010.701878 3489792 60080
bench-node1 write 4096k 4 63154 15 259402.175269 3809280 60317
bench-node1 write 4096k 8 72234 17 453545.143532 4337664 60050
bench-node1 write 4096k 16 77189 18 844229.615117 4714496 61077
bench-node1 write 4096k 32 72767 17 1791834.539171 4444160 61073
bench-node1 write 4096k 64 71850 17 3598049.306141 4468736 62195
bench-node1 write 4096k 128 80371 19 6399016.651125 5095424 63398
bench-node1 write 2048k 1 45140 22 45359.148792 2711552 60069
bench-node1 write 2048k 2 53667 26 76305.918095 3225600 60103
bench-node1 write 2048k 4 57100 27 143442.894265 3428352 60041
bench-node1 write 2048k 8 61617 30 265863.873824 3700736 60060
bench-node1 write 2048k 16 67039 32 488688.778060 4032512 60151
bench-node1 write 2048k 32 75744 36 862437.194494 4612096 60890
bench-node1 write 2048k 64 71134 34 1826223.293509 4354048 61209
bench-node1 write 2048k 128 79963 39 3248089.871560 4911104 61417
bench-node1 write 1024k 1 50528 49 20259.417116 3039232 60149
bench-node1 write 1024k 2 49064 47 41730.369739 2944000 60003
bench-node1 write 1024k 4 55166 53 74234.375889 3312640 60048
bench-node1 write 1024k 8 58159 56 140828.779601 3493888 60074
bench-node1 write 1024k 16 62116 60 263725.460822 3737600 60171
bench-node1 write 1024k 32 64848 63 505201.778939 3918848 60431
bench-node1 write 1024k 64 64444 62 1011730.239381 3905536 60603
bench-node1 write 1024k 128 76315 74 1707778.574983 4649984 60931
bench-node1 write 512k 1 47983 93 10661.514448 2888192 60191
bench-node1 write 512k 2 50912 99 20103.849414 3056640 60037
bench-node1 write 512k 4 48930 95 41842.512642 2936320 60010
bench-node1 write 512k 8 55894 109 73268.156159 3354112 60008
bench-node1 write 512k 16 58360 113 140349.702280 3503104 60025
bench-node1 write 512k 32 58723 114 278961.963441 3529216 60099
bench-node1 write 512k 64 60292 117 542964.710872 3621376 60063
bench-node1 write 512k 128 77180 150 848621.557379 4648960 60235
bench-node1 write 256k 1 43531 170 5872.509066 2611968 60002
bench-node1 write 256k 2 48675 190 10509.906696 2924800 60088
bench-node1 write 256k 4 48807 190 20970.437686 2929152 60014
bench-node1 write 256k 8 50531 197 40518.623608 3034112 60044
bench-node1 write 256k 16 57650 225 71033.251979 3460352 60023
bench-node1 write 256k 32 56381 220 145267.752608 3386880 60071
bench-node1 write 256k 64 64932 253 252256.468561 3900416 60069
bench-node1 write 256k 128 69702 272 469913.231853 4196864 60211
bench-node1 write 128k 1 42678 333 2992.074262 2568192 60175
bench-node1 write 128k 2 47331 369 5400.540186 2842752 60060
bench-node1 write 128k 4 51460 402 9941.539931 3088512 60017
